ZIP CODE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED
10467,2.0,0.0,2,0,0,0
11203,2.0,0.0,1,0,1,0
10469,7.0,0.0,0,0,7,0
10019,2.0,0.0,0,0,0,0
10472,3.0,0.0,0,0,0,0
10464,2.0,0.0,1,0,1,0
10001,1.0,1.0,0,0,1,1
10465,3.0,0.0,0,0,3,0
11101,0.0,1.0,0,1,0,0
10012,1.0,0.0,1,0,0,0
10460,2.0,0.0,0,0,0,0
11237,3.0,0.0,1,0,2,0
11412,8.0,0.0,0,0,8,0
10457,5.0,0.0,0,0,5,0
11420,8.0,0.0,0,0,8,0
11213,8.0,0.0,0,0,8,0
10035,8.0,0.0,0,0,8,0
11206,3.0,0.0,0,0,0,0
11210,0.0,1.0,0,0,0,0
10024,7.0,0.0,0,0,7,0
10467,3.0,0.0,0,0,0,0
11201,2.0,0.0,1,0,0,0
10009,2.0,0.0,0,0,1,0
10475,1.0,1.0,0,0,1,1
10009,0.0,1.0,0,1,0,0
11210,7.0,0.0,0,0,7,0
10028,0.0,1.0,0,0,0,0
11433,2.0,0.0,0,0,1,0
11214,0.0,1.0,0,1,0,0
11411,1.0,0.0,0,0,1,0
11414,3.0,0.0,0,0,0,0
11373,2.0,0.0,1,0,1,0
10014,3.0,0.0,0,0,3,0
11201,4.0,0.0,0,0,4,0
10451,1.0,0.0,0,0,0,0
10453,5.0,0.0,0,0,5,0
10036,4.0,0.0,0,0,3,0
11693,2.0,0.0,1,0,0,0
10032,3.0,0.0,0,0,0,0
11210,3.0,0.0,0,0,3,0
11411,0.0,0.0,0,0,0,0
11417,6.0,0.0,0,0,6,0
11104,1.0,0.0,0,0,0,0
11225,4.0,0.0,0,0,4,0
10471,2.0,0.0,0,0,1,0
10305,0.0,1.0,0,0,0,1
11237,4.0,0.0,0,0,4,0
11210,0.0,0.0,0,0,1,0
10472,6.0,0.0,0,0,6,0
10121,1.0,0.0,0,0,1,0
10169,1.0,0.0,0,0,0,0
11201,0.0,0.0,0,0,2,0
11207,1.0,0.0,0,0,0,0
11231,4.0,0.0,0,0,4,0
10466,2.0,0.0,1,0,1,0
11204,3.0,0.0,0,0,0,0
10035,7.0,0.0,0,0,7,0
10301,0.0,1.0,0,0,0,1
11236,4.0,0.0,0,0,3,0
11423,4.0,0.0,0,0,4,0
11225,13.0,0.0,0,0,13,0
11691,4.0,0.0,0,0,0,0
10036,1.0,0.0,0,0,0,0
11222,3.0,0.0,0,0,2,0
10028,2.0,0.0,0,0,2,0
11105,6.0,0.0,0,0,4,0
10119,2.0,0.0,0,0,0,0
11372,0.0,0.0,1,0,0,0
11231,2.0,0.0,1,0,1,0
11212,3.0,1.0,0,0,3,1
11358,2.0,0.0,0,0,2,0
10466,4.0,0.0,0,0,2,0
11207,8.0,0.0,0,0,8,0
11366,2.0,0.0,0,0,1,0
11366,5.0,0.0,0,0,5,0
10473,3.0,0.0,0,0,0,0
11423,0.0,1.0,0,0,0,1
11375,2.0,0.0,2,0,0,0
10456,1.0,2.0,0,0,0,0
10453,1.0,0.0,0,0,3,0
11373,4.0,0.0,0,0,4,0
11223,3.0,0.0,0,0,2,0
11249,2.0,0.0,0,0,0,0
11377,1.0,0.0,0,0,0,0
11239,4.0,0.0,0,0,4,0
11370,0.0,1.0,0,0,0,0
11203,4.0,0.0,0,0,0,0
11225,8.0,0.0,0,0,8,0
10020,2.0,0.0,1,0,0,0
10306,3.0,0.0,0,0,2,0
11417,5.0,0.0,0,0,5,0
11204,7.0,0.0,0,0,6,0
11105,1.0,0.0,1,0,0,0
11433,2.0,0.0,2,0,0,0
11201,0.0,1.0,0,0,0,0
10007,0.0,1.0,0,1,0,0
11235,2.0,0.0,0,0,0,0
10474,2.0,0.0,0,0,2,0
11367,3.0,0.0,0,0,3,0
10065,1.0,0.0,1,0,0,0
11364,0.0,0.0,0,0,0,0
11357,5.0,0.0,0,0,5,0
11106,1.0,0.0,0,0,0,0
11208,1.0,1.0,0,0,0,0
10011,2.0,0.0,1,0,0,0
11373,0.0,1.0,0,0,0,1
10003,1.0,0.0,1,0,0,0
11230,1.0,0.0,0,0,1,0
10453,3.0,0.0,0,0,3,0
10173,0.0,0.0,0,0,0,0
10023,1.0,1.0,0,0,1,1
11223,0.0,0.0,0,0,0,0
11221,3.0,0.0,0,0,2,0
11230,2.0,0.0,0,0,2,0
10022,3.0,0.0,3,0,0,0
11001,1.0,0.0,0,0,1,0
11103,5.0,0.0,0,0,5,0
11221,2.0,0.0,2,0,0,0
11385,2.0,0.0,0,0,0,0
11216,5.0,0.0,0,0,5,0
10001,0.0,1.0,0,1,0,0
11216,0.0,1.0,0,0,0,0
10458,2.0,0.0,1,0,0,0
11369,2.0,0.0,0,0,1,0
11238,2.0,0.0,0,0,1,0
10023,3.0,0.0,0,0,0,0
10021,3.0,0.0,0,0,3,0
11206,2.0,1.0,0,0,2,1
10466,1.0,1.0,0,0,1,1
11212,4.0,0.0,0,0,3,0
11208,3.0,0.0,0,0,3,0
11224,1.0,1.0,0,0,1,1
10007,0.0,0.0,0,0,1,0
11374,0.0,1.0,0,1,0,0
10458,2.0,0.0,0,0,1,0
10472,1.0,0.0,0,0,1,0
10465,0.0,1.0,0,0,0,1
10468,1.0,0.0,0,0,0,0
11385,8.0,0.0,0,0,8,0
10474,14.0,0.0,0,0,14,0
11236,4.0,0.0,1,0,2,0
11001,6.0,0.0,0,0,6,0
11201,0.0,0.0,0,0,3,0
10459,1.0,0.0,0,0,0,0
11220,3.0,0.0,0,0,1,0
11215,5.0,0.0,1,0,3,0
10018,3.0,0.0,0,0,3,0
10301,1.0,0.0,0,0,1,0
11004,5.0,0.0,0,0,5,0
10038,4.0,0.0,0,0,4,0
11362,3.0,0.0,0,0,3,0
10021,2.0,0.0,1,0,0,0
11219,0.0,1.0,0,0,0,0
10013,3.0,0.0,1,0,0,0
10460,0.0,0.0,0,0,0,0
11203,4.0,1.0,0,0,4,1
10003,0.0,0.0,0,0,1,0
11426,1.0,0.0,1,0,0,0
11238,3.0,0.0,0,0,3,0
11372,3.0,0.0,0,0,0,0
11205,1.0,0.0,1,0,0,0
11435,2.0,0.0,0,0,1,0
11203,2.0,0.0,0,0,0,0
11373,6.0,0.0,0,0,6,0
11434,1.0,1.0,1,1,0,0
10036,3.0,0.0,1,0,1,0
11214,2.0,0.0,2,0,0,0
11204,6.0,0.0,0,0,6,0
10310,2.0,1.0,0,0,2,1
10467,8.0,0.0,0,0,8,0
10045,0.0,0.0,0,0,0,0
10467,0.0,1.0,0,0,0,1
11432,0.0,0.0,0,0,0,0
11432,1.0,0.0,1,0,0,0
11375,3.0,0.0,1,0,2,0
11426,2.0,0.0,0,0,1,0
10039,0.0,0.0,0,0,0,0
11106,2.0,0.0,0,0,0,0
11218,4.0,0.0,0,0,4,0
11427,1.0,0.0,0,0,0,0
10455,4.0,0.0,0,0,1,0
10004,2.0,0.0,0,0,0,0
10013,2.0,0.0,0,0,0,0
11366,0.0,1.0,0,0,0,1
11204,2.0,0.0,0,0,1,0
11101,1.0,1.0,0,0,1,1
10039,3.0,0.0,0,0,3,0
10306,4.0,0.0,0,0,1,0
11361,3.0,0.0,0,0,3,0
11691,1.0,0.0,1,0,0,0
11101,2.0,1.0,0,0,2,0
11207,2.0,0.0,0,0,1,0
11428,5.0,0.0,0,0,5,0
10014,0.0,0.0,0,0,1,0
10009,5.0,0.0,0,0,5,0
10470,5.0,0.0,0,0,5,0
11001,3.0,0.0,0,0,3,0
11432,3.0,2.0,0,0,0,0
10036,2.0,0.0,2,0,0,0
11372,0.0,0.0,0,0,0,0
10803,1.0,0.0,0,0,1,0
10011,4.0,0.0,0,0,0,0
11421,0.0,0.0,0,0,2,0
10039,5.0,0.0,0,0,5,0
10463,7.0,0.0,0,0,7,0
10463,2.0,0.0,0,0,2,0
11207,3.0,0.0,0,0,2,0
11211,2.0,0.0,0,0,1,0
11235,5.0,0.0,0,0,5,0
11239,3.0,1.0,0,0,3,1
11249,6.0,0.0,0,0,6,0
10468,3.0,0.0,0,0,3,0
10120,1.0,0.0,0,0,0,0
11423,2.0,0.0,0,0,0,0
11412,0.0,1.0,0,0,0,1
10306,10.0,0.0,0,0,10,0
11102,2.0,0.0,1,0,1,0
11419,1.0,0.0,0,0,1,0
11423,1.0,0.0,0,0,1,0
10462,0.0,1.0,0,0,0,0
11219,3.0,0.0,0,0,2,0
10023,2.0,0.0,0,0,0,0
10474,8.0,0.0,0,0,8,0
10009,1.0,0.0,0,0,1,0
10271,2.0,0.0,1,0,1,0
11433,13.0,0.0,0,0,13,0
10036,2.0,0.0,0,0,1,0
11411,2.0,0.0,0,0,2,0
10024,1.0,0.0,0,0,0,0
